Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
96	Receive	23:02:00.891			0x00000101	Data	Standard	0x08	00 18 00 00 00 00 00 00 	
97	Receive	23:02:00.891			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
98	Send	23:02:00.906	Success		0x00000115	Data	Standard	0x08	14 00 00 00 00 00 00 00 	
99	Send	23:02:00.922	Success		0x00000116	Data	Standard	0x08	15 00 00 00 00 00 00 00 	
100	Send	23:02:00.935	Success		0x00000117	Data	Standard	0x08	16 00 00 00 00 00 00 00 	
101	Send	23:02:00.951	Success		0x00000118	Data	Standard	0x08	17 00 00 00 00 00 00 00 	
102	Send	23:02:00.982	Success		0x00000119	Data	Standard	0x08	18 00 00 00 00 00 00 00 	
103	Send	23:02:00.998	Success		0x0000011A	Data	Standard	0x08	19 00 00 00 00 00 00 00 	
104	Receive	23:02:00.998			0x00000101	Data	Standard	0x08	00 19 00 00 00 00 00 00 	
105	Receive	23:02:00.998			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
106	Send	23:02:01.014	Success		0x0000011B	Data	Standard	0x08	1A 00 00 00 00 00 00 00 	
107	Send	23:02:01.031	Success		0x0000011C	Data	Standard	0x08	1B 00 00 00 00 00 00 00 	
108	Send	23:02:01.047	Success		0x0000011D	Data	Standard	0x08	1C 00 00 00 00 00 00 00 	
109	Send	23:02:01.063	Success		0x0000011E	Data	Standard	0x08	1D 00 00 00 00 00 00 00 	
110	Send	23:02:01.083	Success		0x0000011F	Data	Standard	0x08	1E 00 00 00 00 00 00 00 	
111	Send	23:02:01.099	Success		0x00000120	Data	Standard	0x08	1F 00 00 00 00 00 00 00 	
112	Receive	23:02:01.099			0x00000101	Data	Standard	0x08	00 1A 00 00 00 00 00 00 	
113	Receive	23:02:01.099			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
114	Send	23:02:01.115	Success		0x00000121	Data	Standard	0x08	20 00 00 00 00 00 00 00 	
115	Send	23:02:01.131	Success		0x00000122	Data	Standard	0x08	21 00 00 00 00 00 00 00 	
116	Send	23:02:01.157	Success		0x00000123	Data	Standard	0x08	22 00 00 00 00 00 00 00 	
117	Send	23:02:01.171	Success		0x00000124	Data	Standard	0x08	23 00 00 00 00 00 00 00 	
118	Send	23:02:01.186	Success		0x00000125	Data	Standard	0x08	24 00 00 00 00 00 00 00 	
119	Receive	23:02:01.187			0x00000101	Data	Standard	0x08	00 1D 00 00 00 00 00 00 	
120	Receive	23:02:01.187			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
121	Send	23:02:01.202	Success		0x00000126	Data	Standard	0x08	25 00 00 00 00 00 00 00 	
122	Send	23:02:01.218	Success		0x00000127	Data	Standard	0x08	26 00 00 00 00 00 00 00 	
123	Send	23:02:01.234	Success		0x00000128	Data	Standard	0x08	27 00 00 00 00 00 00 00 	
124	Send	23:02:01.249	Success		0x00000129	Data	Standard	0x08	28 00 00 00 00 00 00 00 	
125	Send	23:02:01.265	Success		0x0000012A	Data	Standard	0x08	29 00 00 00 00 00 00 00 	
126	Send	23:02:01.281	Success		0x0000012B	Data	Standard	0x08	2A 00 00 00 00 00 00 00 	
127	Send	23:02:01.298	Success		0x0000012C	Data	Standard	0x08	2B 00 00 00 00 00 00 00 	
128	Receive	23:02:01.299			0x00000101	Data	Standard	0x08	00 1F 00 00 00 00 00 00 	
129	Receive	23:02:01.299			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
130	Send	23:02:01.314	Success		0x0000012D	Data	Standard	0x08	2C 00 00 00 00 00 00 00 	
131	Send	23:02:01.329	Success		0x0000012E	Data	Standard	0x08	2D 00 00 00 00 00 00 00 	
132	Send	23:02:01.345	Success		0x0000012F	Data	Standard	0x08	2E 00 00 00 00 00 00 00 	
133	Send	23:02:01.361	Success		0x00000130	Data	Standard	0x08	2F 00 00 00 00 00 00 00 	
134	Send	23:02:01.374	Success		0x00000131	Data	Standard	0x08	30 00 00 00 00 00 00 00 	
135	Send	23:02:01.389	Success		0x00000132	Data	Standard	0x08	31 00 00 00 00 00 00 00 	
136	Receive	23:02:01.389			0x00000101	Data	Standard	0x08	00 22 00 00 00 00 00 00 	
