Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
181	Send	22:55:13.184	Success		0x00000101	Data	Standard	0x08	3B 00 00 00 00 00 00 00 	
182	Send	22:55:13.201	Success		0x00000101	Data	Standard	0x08	3C 00 00 00 00 00 00 00 	
183	Send	22:55:13.216	Success		0x00000101	Data	Standard	0x08	3D 00 00 00 00 00 00 00 	
184	Receive	22:55:13.217			0x00000101	Data	Standard	0x08	00 5E 00 00 00 00 00 00 	
185	Receive	22:55:13.217			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
186	Send	22:55:13.232	Success		0x00000101	Data	Standard	0x08	3E 00 00 00 00 00 00 00 	
187	Send	22:55:13.247	Success		0x00000101	Data	Standard	0x08	3F 00 00 00 00 00 00 00 	
188	Send	22:55:13.271	Success		0x00000101	Data	Standard	0x08	40 00 00 00 00 00 00 00 	
189	Send	22:55:13.287	Success		0x00000101	Data	Standard	0x08	41 00 00 00 00 00 00 00 	
190	Send	22:55:13.312	Success		0x00000101	Data	Standard	0x08	42 00 00 00 00 00 00 00 	
191	Receive	22:55:13.312			0x00000101	Data	Standard	0x08	00 60 00 00 00 00 00 00 	
192	Receive	22:55:13.312			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
193	Send	22:55:13.327	Success		0x00000101	Data	Standard	0x08	43 00 00 00 00 00 00 00 	
194	Send	22:55:13.343	Success		0x00000101	Data	Standard	0x08	44 00 00 00 00 00 00 00 	
195	Send	22:55:13.360	Success		0x00000101	Data	Standard	0x08	45 00 00 00 00 00 00 00 	
196	Send	22:55:13.376	Success		0x00000101	Data	Standard	0x08	46 00 00 00 00 00 00 00 	
197	Send	22:55:13.408	Success		0x00000101	Data	Standard	0x08	47 00 00 00 00 00 00 00 	
198	Receive	22:55:13.409			0x00000101	Data	Standard	0x08	00 62 00 00 00 00 00 00 	
199	Receive	22:55:13.409			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
200	Send	22:55:13.428	Success		0x00000101	Data	Standard	0x08	48 00 00 00 00 00 00 00 	
201	Send	22:55:13.444	Success		0x00000101	Data	Standard	0x08	49 00 00 00 00 00 00 00 	
202	Send	22:55:13.460	Success		0x00000101	Data	Standard	0x08	4A 00 00 00 00 00 00 00 	
203	Send	22:55:13.476	Success		0x00000101	Data	Standard	0x08	4B 00 00 00 00 00 00 00 	
204	Send	22:55:13.489	Success		0x00000101	Data	Standard	0x08	4C 00 00 00 00 00 00 00 	
205	Send	22:55:13.505	Success		0x00000101	Data	Standard	0x08	4D 00 00 00 00 00 00 00 	
206	Receive	22:55:13.506			0x00000101	Data	Standard	0x08	00 65 00 00 00 00 00 00 	
207	Receive	22:55:13.506			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
208	Send	22:55:13.521	Success		0x00000101	Data	Standard	0x08	4E 00 00 00 00 00 00 00 	
209	Send	22:55:13.536	Success		0x00000101	Data	Standard	0x08	4F 00 00 00 00 00 00 00 	
210	Send	22:55:13.552	Success		0x00000101	Data	Standard	0x08	50 00 00 00 00 00 00 00 	
211	Send	22:55:13.567	Success		0x00000101	Data	Standard	0x08	51 00 00 00 00 00 00 00 	
212	Send	22:55:13.583	Success		0x00000101	Data	Standard	0x08	52 00 00 00 00 00 00 00 	
213	Send	22:55:13.599	Success		0x00000101	Data	Standard	0x08	53 00 00 00 00 00 00 00 	
214	Send	22:55:13.615	Success		0x00000101	Data	Standard	0x08	54 00 00 00 00 00 00 00 	
215	Receive	22:55:13.615			0x00000101	Data	Standard	0x08	00 66 00 00 00 00 00 00 	
216	Receive	22:55:13.615			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
217	Send	22:55:13.630	Success		0x00000101	Data	Standard	0x08	55 00 00 00 00 00 00 00 	
218	Send	22:55:13.646	Success		0x00000101	Data	Standard	0x08	56 00 00 00 00 00 00 00 	
219	Send	22:55:13.662	Success		0x00000101	Data	Standard	0x08	57 00 00 00 00 00 00 00 	
220	Send	22:55:13.677	Success		0x00000101	Data	Standard	0x08	58 00 00 00 00 00 00 00 	
221	Send	22:55:13.693	Success		0x00000101	Data	Standard	0x08	59 00 00 00 00 00 00 00 	
222	Send	22:55:13.709	Success		0x00000101	Data	Standard	0x08	5A 00 00 00 00 00 00 00 	
223	Receive	22:55:13.710			0x00000101	Data	Standard	0x08	00 68 00 00 00 00 00 00 	
224	Receive	22:55:13.710			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
225	Send	22:55:13.725	Success		0x00000101	Data	Standard	0x08	5B 00 00 00 00 00 00 00 	
226	Send	22:55:13.743	Success		0x00000101	Data	Standard	0x08	5C 00 00 00 00 00 00 00 	
227	Send	22:55:13.759	Success		0x00000101	Data	Standard	0x08	5D 00 00 00 00 00 00 00 	
228	Send	22:55:13.775	Success		0x00000101	Data	Standard	0x08	5E 00 00 00 00 00 00 00 	
229	Send	22:55:13.791	Success		0x00000101	Data	Standard	0x08	5F 00 00 00 00 00 00 00 	
230	Send	22:55:13.809	Success		0x00000101	Data	Standard	0x08	60 00 00 00 00 00 00 00 	
231	Receive	22:55:13.810			0x00000101	Data	Standard	0x08	00 69 00 00 00 00 00 00 	
232	Receive	22:55:13.810			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
233	Send	22:55:13.825	Success		0x00000101	Data	Standard	0x08	61 00 00 00 00 00 00 00 	
234	Send	22:55:13.841	Success		0x00000101	Data	Standard	0x08	62 00 00 00 00 00 00 00 	
235	Send	22:55:13.857	Success		0x00000101	Data	Standard	0x08	63 00 00 00 00 00 00 00 	
236	Send	22:55:13.873	Success		0x00000101	Data	Standard	0x08	64 00 00 00 00 00 00 00 	
237	Send	22:55:13.889	Success		0x00000101	Data	Standard	0x08	65 00 00 00 00 00 00 00 	
238	Send	22:55:13.905	Success		0x00000101	Data	Standard	0x08	66 00 00 00 00 00 00 00 	
239	Receive	22:55:13.905			0x00000101	Data	Standard	0x08	00 6A 00 00 00 00 00 00 	
240	Receive	22:55:13.905			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
241	Send	22:55:13.921	Success		0x00000101	Data	Standard	0x08	67 00 00 00 00 00 00 00 	
242	Send	22:55:13.937	Success		0x00000101	Data	Standard	0x08	68 00 00 00 00 00 00 00 	
243	Send	22:55:13.953	Success		0x00000101	Data	Standard	0x08	69 00 00 00 00 00 00 00 	
244	Send	22:55:13.969	Success		0x00000101	Data	Standard	0x08	6A 00 00 00 00 00 00 00 	
245	Send	22:55:13.985	Success		0x00000101	Data	Standard	0x08	6B 00 00 00 00 00 00 00 	
246	Send	22:55:14.001	Success		0x00000101	Data	Standard	0x08	6C 00 00 00 00 00 00 00 	
247	Receive	22:55:14.002			0x00000101	Data	Standard	0x08	00 6C 00 00 00 00 00 00 	
248	Send	22:55:14.017	Success		0x00000101	Data	Standard	0x08	6D 00 00 00 00 00 00 00 	
249	Receive	22:55:14.017			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
250	Send	22:55:14.032	Success		0x00000101	Data	Standard	0x08	6E 00 00 00 00 00 00 00 	
251	Send	22:55:14.048	Success		0x00000101	Data	Standard	0x08	6F 00 00 00 00 00 00 00 	
252	Send	22:55:14.064	Success		0x00000101	Data	Standard	0x08	70 00 00 00 00 00 00 00 	
253	Send	22:55:14.079	Success		0x00000101	Data	Standard	0x08	71 00 00 00 00 00 00 00 	
254	Send	22:55:14.095	Success		0x00000101	Data	Standard	0x08	72 00 00 00 00 00 00 00 	
255	Send	22:55:14.109	Success		0x00000101	Data	Standard	0x08	73 00 00 00 00 00 00 00 	
256	Receive	22:55:14.110			0x00000101	Data	Standard	0x08	00 6F 00 00 00 00 00 00 	
257	Receive	22:55:14.110			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
258	Send	22:55:14.124	Success		0x00000101	Data	Standard	0x08	74 00 00 00 00 00 00 00 	
259	Send	22:55:14.140	Success		0x00000101	Data	Standard	0x08	75 00 00 00 00 00 00 00 	
260	Send	22:55:14.160	Success		0x00000101	Data	Standard	0x08	76 00 00 00 00 00 00 00 	
261	Send	22:55:14.176	Success		0x00000101	Data	Standard	0x08	77 00 00 00 00 00 00 00 	
262	Send	22:55:14.191	Success		0x00000101	Data	Standard	0x08	78 00 00 00 00 00 00 00 	
263	Send	22:55:14.207	Success		0x00000101	Data	Standard	0x08	79 00 00 00 00 00 00 00 	
264	Receive	22:55:14.207			0x00000101	Data	Standard	0x08	00 70 00 00 00 00 00 00 	
265	Receive	22:55:14.207			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
266	Send	22:55:14.222	Success		0x00000101	Data	Standard	0x08	7A 00 00 00 00 00 00 00 	
267	Send	22:55:14.238	Success		0x00000101	Data	Standard	0x08	7B 00 00 00 00 00 00 00 	
268	Send	22:55:14.254	Success		0x00000101	Data	Standard	0x08	7C 00 00 00 00 00 00 00 	
269	Send	22:55:14.270	Success		0x00000101	Data	Standard	0x08	7D 00 00 00 00 00 00 00 	
270	Send	22:55:14.286	Success		0x00000101	Data	Standard	0x08	7E 00 00 00 00 00 00 00 	
271	Send	22:55:14.302	Success		0x00000101	Data	Standard	0x08	7F 00 00 00 00 00 00 00 	
272	Receive	22:55:14.303			0x00000101	Data	Standard	0x08	00 71 00 00 00 00 00 00 	
273	Receive	22:55:14.303			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
